Af,Ms
333.4,287.4
598,502
115.9,80.2
121.7,82.6
191.8,128.1
151,121
67,56
155.2,99.4
448,237
523,462
442,337
74.7,45
136,122
361,339
994,890
116,87
83.9,64
1218,1184
110,71
648,571
1057,989
134,79
271.8,258.8
552,510
-36.5,-73.6
550,457
165.3,149.5
61,53
64.8,49.6
-0.7,-22.1
74.6,62.7
90.3,73.5
590,534
148.4,90.9
122.5,72.9
521,479
43.3,11.4
202.9,141.9
66.9,36
559.25,442.45
115.9,81.7
232.9,191
747,481
559.25,442.45
587,527
175.3,111.1
94.7,71.7
102.7,69.1
80,54
80.2,53.5
33.8,14.9
349.2,324.6
213,180
356,347
398,259
67,48
68.3,56.4
24,10.2
133,107
593,451.86
83.5,60.5
493,455
545,478
156.7,97.9
308,221
58,35
474,313
760,591
72.6,60.7
1066,1025
557,485
15.6,-1.5
167.3,151.5
1103,1000
82.2,55.5
56.8,30.8
469,421
-4.7,-35.7
197,190
546,393
87.4,60
66.6,45.4
185.8,141
189,135
-203,-235.2
508,467
161,138
75,52
511,464
593,451.86
133.8,85.8
44,23
587,527
259,249
104.5,91.9
503,457
1003,913
24,6.1
551.9,487.32
513,485
114,72
551.9,487.32
273.8,260.8
77,63.2
57,38
804,713
576,513
71,58.4
1190,1110
90,77
122.3,108.2
590,534
503,457
195.1,179.4
69.6,24.9
576,513
31,20
102.5,89.9
67,56
492,454
70.3,38.5
39,21
179,150
505,460
74.1,50.3
107.2,71.6
12.3,-11.1
257,249
209,178
75.9,29.6
85.2,68.8
38.5,15.8
405.5,107
61,52
-13.8,-32.7
504,328
356,347
492,510
996,905
598,502
-26.9,-83.9
85.1,59.8
46.4,-6
505,460
589,540
374,337
124.3,110.2
85.8,60.4
143,132
492,452
83,73
